Trial:	/storage/emulated/0/Android/data/com.matlabgeeks.gaitanalyzer/cache/Down_Hand_D10_accelerometer_t41.txt
Phone/Tablet Model:	Xiaomi Redmi Note 7S

Sensor Information
Name:	BOSCH BMI120 Accelerometer
Maximum Range:	156.9064m/s²
Resolution:	0.0023956299m/s²

Generated by SensorData, Version1.8.0.0
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Time	X	Y	Z
1607706482460	-0.91339111328125	-2.1621856689453125	9.9384765625
1607706482478	-1.1192779541015625	-1.79107666015625	9.239364624023438
1607706482499	-0.5734100341796875	-1.1590118408203125	9.43328857421875
1607706482518	-0.3459625244140625	-1.2284393310546875	9.450057983398438
1607706482539	-0.3842620849609375	-1.4008331298828125	9.21063232421875
1607706482559	-0.456085205078125	-1.405609130859375	8.918548583984375
1607706482580	-0.5374908447265625	-1.2930908203125	8.932907104492188
1607706482600	-0.5686187744140625	-1.2068939208984375	9.356674194335938
1607706482624	-0.508758544921875	-1.1111297607421875	9.799606323242188
1607706482640	-0.44891357421875	-1.0225372314453125	10.058181762695312
1607706482662	-0.3890533447265625	-1.0847930908203125	9.998321533203125
1607706482681	-0.5135498046875	-1.09197998046875	10.165924072265625
1607706482702	-0.5374908447265625	-1.0417022705078125	10.2784423828125
1607706482721	-0.444122314453125	-0.75439453125	9.895370483398438
1607706482741	-0.2980804443359375	-0.4718780517578125	9.701446533203125
1607706482764	-0.333984375	-0.6298980712890625	9.699050903320312
1607706482783	-0.4393310546875	-0.8788909912109375	9.909744262695312
1607706482802	-0.5374908447265625	-1.1422576904296875	10.2784423828125
1607706482823	-0.5470733642578125	-1.32421875	10.381393432617188
1607706482848	-0.4728546142578125	-1.2212677001953125	10.050994873046875
1607706482865	-0.3196258544921875	-1.046478271484375	9.873825073242188
1607706482884	-0.338775634765625	-0.9267730712890625	9.825942993164062
1607706482905	-0.539886474609375	-0.7998809814453125	9.998321533203125
1607706482928	-0.803253173828125	-0.85015869140625	10.122833251953125
1607706482946	-0.9852142333984375	-0.9794464111328125	10.0126953125
1607706482965	-0.9277496337890625	-0.9698638916015625	9.91693115234375
1607706482985	-0.8319854736328125	-1.0105743408203125	10.027053833007812
1607706483006	-0.8726806640625	-1.20928955078125	9.912139892578125
1607706483026	-0.9852142333984375	-1.319427490234375	9.624832153320312
1607706483061	-0.930145263671875	-1.1757659912109375	9.457244873046875
1607706483073	-0.834381103515625	-1.0153656005859375	9.512298583984375
1607706483087	-0.7912750244140625	-0.98663330078125	9.663131713867188
1607706483108	-0.7314300537109375	-1.0009918212890625	9.773269653320312
1607706483127	-0.6787567138671875	-0.95550537109375	9.708633422851562
1607706483147	-0.38665771484375	-0.6203155517578125	9.143600463867188
1607706483168	0.0395050048828125	-0.179779052734375	8.55462646484375
1607706483187	0.3028717041015625	0.138641357421875	8.7557373046875
1607706483208	0.3459625244140625	-0.3042755126953125	10.185073852539062
1607706483228	1.447296142578125	-0.792694091796875	11.68145751953125
1607706483251	2.70904541015625	-0.316253662109375	12.198593139648438
1607706483271	3.4297027587890625	0.413970947265625	10.218597412109375
1607706483290	2.5007476806640625	0.58636474609375	9.110076904296875
1607706483310	1.2701263427734375	0.5648193359375	7.6184844970703125
1607706483331	1.3706817626953125	0.545654296875	6.64166259765625
1607706483350	2.6683349609375	0.41876220703125	6.36871337890625
1607706483371	3.61883544921875	-0.3761138916015625	7.493988037109375
